Animal Number,Sex,Re-exposure,Total % DbH,Caudal ,AP,Rostral
19-466,M,Dark,52.72,70.23,53.03,25.58
19-467,M,Dark,61.56,70,58.99,56.36
19-468,M,HC,31.81,51.56,9.73,2.27
19-469,M,HC,35,48.21,36.84,12
19-470,M,Dark,60.53,65.33,56.12,58.49
19-471,M,Dark,58.2,66.49,45.33,67.65
19-472,M,HC,22,42.85,8.89,2.94
19-473,M,HC,25.15,39.2,21.85,6.06
19-474,F,Dark,50.3,65.77,35.71,43.9
19-475,F,Dark,59.56,79.41,51.61,46.77
19-476,F,HC,46.28,64.56,48.24,0
19-477,F,HC,38.81,59.67,15.93,9.76
19-478,F,Dark,39.25,49.2,22.35,30.61
19-479,F,Dark,43.45,49.5,32.68,40
19-480,F,HC,34.07,54.71,17.36,10.64
19-481,F,HC,21.62,38.03,12.78,1.72
20-47,M,Dark,52.52,71.08,37.42,21.74
20-49,F,HC,20,24.39,14.52,10.25
20-50,F,HC,33.13,55.8,18.85,10
20-51,M,HC,21.28,30.69,11.11,17.95
20-52,M,HC,32.98,40,27.83,22.86
20-53,F,Dark,44.85,61.68,24.24,22.86
20-54,F,Dark,66.51,72.28,60.23,65.38
20-88,M,Dark,53.95,59.43,55.65,26.19
20-89,M,Dark,53.31,58.1,45.05,37.5
20-90,F,Dark,51.2,57.24,44.67,54.05
20-91,F,Dark,25.76,22.58,22.95,66.67
20-92,M,HC,12.99,3.9,13.85,21.43
20-93,M,HC,21.19,25,16.28,34.21
20-94,F,HC,10.12,18.44,3.65,4.17
20-95,F,HC,45.33,58.33,26.42,19.35
